Date,CDX.NA.IG
01/12/2015,80.55
02/12/2015,82.208
03/12/2015,83.482
04/12/2015,81.965
07/12/2015,83.474
08/12/2015,86.021
09/12/2015,85.98
10/12/2015,87.844
11/12/2015,96.325
14/12/2015,92.708
15/12/2015,90.545
16/12/2015,89.463
17/12/2015,94.419
18/12/2015,95.251
21/12/2015,95.088
22/12/2015,92.396
23/12/2015,89.959
24/12/2015,89.705
28/12/2015,90.538
29/12/2015,88.422
30/12/2015,88.428
31/12/2015,88.244
04/01/2016,90.503
05/01/2016,90.581
06/01/2016,92.702
07/01/2016,96.07
08/01/2016,98.652
11/01/2016,98.352
12/01/2016,98.706
13/01/2016,104.708
14/01/2016,103.685
15/01/2016,109.992
19/01/2016,110.452
20/01/2016,110.868
21/01/2016,108.587
22/01/2016,104.094
25/01/2016,106.757
26/01/2016,104.573
27/01/2016,104.729
28/01/2016,103.437
29/01/2016,101.98
01/02/2016,104.02
02/02/2016,108.652
03/02/2016,107.695
04/02/2016,109.574
05/02/2016,114.8
08/02/2016,120.244
09/02/2016,119.554
10/02/2016,121.563
11/02/2016,124.6
12/02/2016,121.962
16/02/2016,121.253
17/02/2016,116.818
18/02/2016,116.77
19/02/2016,118.128
22/02/2016,113.495
23/02/2016,115.725
24/02/2016,114.503
25/02/2016,112.628
26/02/2016,110.29
29/02/2016,107.456
01/03/2016,100.583
02/03/2016,100.125
03/03/2016,96.946
04/03/2016,94.368
07/03/2016,93.71
08/03/2016,98.167
09/03/2016,96.213
10/03/2016,90.813
11/03/2016,82.847
14/03/2016,85.126
15/03/2016,89.083
16/03/2016,85.711
17/03/2016,83.694
18/03/2016,85.154
21/03/2016,77.556
22/03/2016,80.855
23/03/2016,81.253
24/03/2016,83.415
28/03/2016,83.23
29/03/2016,82.52
30/03/2016,78.508
31/03/2016,78.592
01/04/2016,75.542
04/04/2016,76.27
05/04/2016,79.628
06/04/2016,77.678
07/04/2016,82.34
08/04/2016,82.331
11/04/2016,81.402
12/04/2016,79.519
13/04/2016,79.488
14/04/2016,78.99
15/04/2016,80.17
18/04/2016,77.921
19/04/2016,75.59
20/04/2016,72.744
21/04/2016,74.106
22/04/2016,73
25/04/2016,74.629
26/04/2016,74.497
27/04/2016,73.73
28/04/2016,76.481
29/04/2016,77.478
02/05/2016,77.965
03/05/2016,81.479
04/05/2016,83.346
05/05/2016,84.742
06/05/2016,85.265
09/05/2016,84.013
10/05/2016,80.507
11/05/2016,82.217
12/05/2016,81.288
13/05/2016,83.312
16/05/2016,81.535
17/05/2016,82.507
18/05/2016,83.727
19/05/2016,85.188
20/05/2016,83.749
23/05/2016,83.596
24/05/2016,79.573
25/05/2016,77.085
26/05/2016,77.036
27/05/2016,76.242
31/05/2016,76.668
01/06/2016,77.314
02/06/2016,77.124
03/06/2016,77.365
06/06/2016,74.393
07/06/2016,73.773
08/06/2016,73.594
09/06/2016,75.993
10/06/2016,78.775
13/06/2016,81.54
14/06/2016,84.093
15/06/2016,85.208
16/06/2016,82.717
17/06/2016,82.805
20/06/2016,80.12
21/06/2016,78.57
22/06/2016,78.91
