DATE,AGG,BNB-USD,BTC-USD,DBC,DOGE-USD,ETH-USD,GLD,IEF,PEPE-USD,SHIB-USD,SOL-USD,TLT,URTH,VNQ,XRP-USD,^IRX,^RUT,^SPX,^VIX
2017-01-03,5079200.0,,185168000,5935100.0,,,7527400.0,3230500.0,,,,13217300.0,63200.0,9380300.0,,0.0,3773010000.0,3773010000.0,0.0
2017-01-04,3297100.0,,344945984,3281500.0,,,4904100.0,1523000.0,,,,6699600.0,22700.0,6598700.0,,0.0,3768890000.0,3768890000.0,0.0
2017-01-05,5165900.0,,510199008,28475900.0,,,9606800.0,3344400.0,,,,13265800.0,15500.0,8555700.0,,0.0,3785080000.0,3785080000.0,0.0
2017-01-06,2910100.0,,351876000,2781800.0,,,7686100.0,1601400.0,,,,8369300.0,123200.0,3901200.0,,0.0,3342080000.0,3342080000.0,0.0
2017-01-09,3030500.0,,141876992,3365900.0,,,5674600.0,1275000.0,,,,8839100.0,7700.0,3546100.0,,0.0,3219730000.0,3219730000.0,0.0
2017-01-10,2396300.0,,115808000,1915100.0,,,6093400.0,1352700.0,,,,8417900.0,19700.0,3959600.0,,0.0,3640560000.0,3640560000.0,0.0
2017-01-11,4465500.0,,310928992,2711900.0,,,9918700.0,1833700.0,,,,9402500.0,17100.0,4498000.0,,0.0,3625080000.0,3625080000.0,0.0
2017-01-12,3036600.0,,222326000,1752700.0,,,8457300.0,1544700.0,,,,9977600.0,60900.0,4670700.0,,0.0,3466220000.0,3466220000.0,0.0
2017-01-13,3293600.0,,168968000,1241000.0,,,7261500.0,1833200.0,,,,9820000.0,26500.0,3658100.0,,0.0,3090680000.0,3090680000.0,0.0
2017-01-17,3685700.0,,155095008,2168100.0,,,9142400.0,1656800.0,,,,7853300.0,23600.0,4139200.0,,0.0,3586950000.0,3586950000.0,0.0
2017-01-18,3115600.0,,225676992,1570600.0,,,6498100.0,3640400.0,,,,9064700.0,16200.0,3317400.0,,0.0,3317670000.0,3317670000.0,0.0
