Method,Hedge Type,Return Change,Vol Change,Sharpe Change,Max DD Change,CVaR Change
MVO,Fixed Hedge,-0.07044097319056719,-0.33440816395485107,0.07481991988410175,0.09698800766678362,0.05138276259889191
MVO,TLT Hedge,-0.12283913686299452,-0.24771480376898736,0.0016324435920757052,0.07112378180983503,0.03812675709907817
MVO,Vol Optimized Hedge,-0.29084310959902804,-0.6351624347912157,0.02954227105577656,0.2277575143030468,0.09908736160453308
MVO,Beta Hedge,0.07623194552368018,-0.07518671908487518,0.07249440065669066,-0.009202099475654646,0.018197890423381435
RP,Fixed Hedge,-0.0719019444845892,-0.13871476761462498,0.3587005336981135,0.15830635792081937,0.02167253137626591
RP,TLT Hedge,-0.12393486533351106,-0.08132657272765048,0.005820507928961494,0.04756596581509209,0.010449032197335159
RP,Vol Optimized Hedge,-0.06684676829018765,-0.18702623993550316,0.6349669448934285,0.19652208710269406,0.030544187696199078
RP,Beta Hedge,-0.0421682336980278,-0.06194986023499627,0.11346193869922572,0.05852169340547109,0.010317566465855375
CVaR,Fixed Hedge,-0.059529814605364884,-0.12014461222334938,0.37372992407824346,0.10882956833889307,0.019151919418607784
CVaR,TLT Hedge,-0.11465576792409282,-0.07250263479797181,0.006663018174991153,0.04977348984464369,0.009434330771093388
CVaR,Vol Optimized Hedge,-0.057446442281210874,-0.1541608802755765,0.5872905285605146,0.13768746736945006,0.02592179549927727
CVaR,Beta Hedge,-0.09586926181783317,-0.06665545820644958,0.029045454240871793,0.02153901672494407,0.01038595920865782
