,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,SHIB-USD,DOGE-USD
2023-08-02,0.624899447104181,7.982066929059403e-13,0.1906765893680636,5.83859971244632e-14,0.1844239635259728,4.673191601298783e-13,4.586254336210648e-13
2023-08-03,0.6248994471142509,8.686410742053253e-13,0.19067658936036241,6.136541545088994e-14,0.18442396352348012,4.94845321057635e-13,4.81718179152198e-13
2023-08-04,0.6248994471540734,1.213661792451664e-12,0.19067658932790793,8.685387503997288e-14,0.1844239635153574,6.865784267321126e-13,6.742297752665503e-13
2023-08-07,0.6248994543126087,2.4845372586943487e-12,0.19067658358222922,1.8388610639995265e-13,0.1844239620997309,1.4075168339492649e-12,1.355276729396927e-12
2023-08-08,0.8087189097950983,8.426557682776772e-14,0.0432146446406132,5.253563573770217e-15,0.14806644556411608,4.090946124402684e-14,4.2144531705499584e-14
2023-08-09,0.8087189097662922,7.651850530901229e-14,0.04321464466347642,4.907479537669839e-15,0.14806644557007348,3.802477525479789e-14,3.844231256660622e-14
2023-08-10,0.8087189097686736,7.502456338921078e-14,0.043214644661499976,4.8376664343057884e-15,0.14806644556967105,3.7589507731326844e-14,3.789305678133052e-14
2023-08-11,0.8087189098411246,4.740093583575968e-14,0.04321464460341483,3.033090719744299e-15,0.14806644555536197,2.401042301594382e-14,2.423970492256774e-14
2023-08-14,0.8087189098128398,7.155757629958296e-14,0.043214644626220614,4.605158625284271e-15,0.14806644556079032,3.6493966560043725e-14,3.663977998267355e-14
2023-08-15,0.8087189097769312,7.222813744250321e-14,0.043214644654894316,4.7153958883918944e-15,0.1480664455680242,3.660451091532732e-14,3.680338879106895e-14
2023-08-16,0.8087189097796335,7.559413292709514e-14,0.043214644652784844,4.784470153947404e-15,0.14806644556742493,3.812849866577171e-14,3.842097465947167e-14
2023-08-17,0.8087189097688309,7.68359917619134e-14,0.04321464466145749,4.802629961098886e-15,0.14806644556955492,3.693332485718877e-14,3.8197516679151725e-14
2023-08-18,0.7154823749230351,8.860580569367107e-14,0.2845176250760761,5.747549966691303e-15,7.283136682737626e-13,3.128038489413212e-14,3.4848797966787006e-14
2023-08-21,0.7154823749206078,4.593318696622417e-13,0.28451762507375683,2.4000699054787162e-14,4.902763148343982e-12,1.0641561356767235e-13,1.4289465727493284e-13
2023-08-22,0.7154823743811021,3.4287921241079814e-12,0.2845176255812119,2.2325588853965327e-13,3.135696604526441e-11,1.2437090678581826e-12,1.433433538826899e-12
2023-08-23,0.922493524090156,1.2044424087361142e-12,0.07750647589833334,6.946389674268284e-14,9.498413706463549e-12,3.156558903007447e-13,4.2270835387593367e-13
2023-08-24,0.9224935241011194,1.2465384201535368e-12,0.0775064758872818,7.081078122931087e-14,9.583683578295825e-12,2.8099289388356074e-13,4.167960766490957e-13
2023-08-25,0.9224935240905802,1.2266184240386893e-12,0.07750647589779755,7.177130249352503e-14,9.572055934255053e-12,3.2119981249241025e-13,4.307313063897667e-13
2023-08-28,0.9224935240868034,1.2033988053074917e-12,0.07750647590155522,7.027655957218122e-14,9.624165135576502e-12,3.1829553181983754e-13,4.251820726189182e-13
2023-08-29,0.9224935240907505,1.2282819040723036e-12,0.0775064758974493,7.209474655811878e-14,9.746677863385644e-12,3.189425111228389e-13,4.343159179400532e-13
2023-08-30,0.922493524219786,3.79972688624587e-12,0.07750647575531125,2.986261786623555e-13,1.8923730155113327e-11,8.413366126954806e-13,1.039292869437973e-12
2023-08-31,0.9224935242329514,4.467868719534421e-12,0.07750647573618918,3.484229704481556e-13,2.3814201357380406e-11,1.0026300317898514e-12,1.2263381249528862e-12
2023-09-01,0.892644739006996,5.292499265365971e-13,0.10735526099118813,2.5189392167645296e-14,9.895152047462213e-13,1.393929037728843e-13,1.3242008690624503e-13
2023-09-05,0.8926447390056376,5.466564559950275e-13,0.10735526099248519,2.6011072048129143e-14,1.0212332988965134e-12,1.4558298019705265e-13,1.3769075238668847e-13
2023-09-06,0.8926447390042986,5.637791604418358e-13,0.10735526099375749,2.7242246814239162e-14,1.0591705784556926e-12,1.5150404008862918e-13,1.4221499449107248e-13
2023-09-07,0.8926447390045426,5.569188306960665e-13,0.10735526099353947,2.6740044673121322e-14,1.0442161772376102e-12,1.4942462019750044e-13,1.4056605766008642e-13
2023-09-08,0.9224935240973331,1.314782320788916e-13,0.07750647590197361,5.215121449034911e-15,4.696691589666328e-13,4.053731187994906e-14,4.647055550156971e-14
2023-09-11,0.922493524101545,1.2429606637799077e-13,0.07750647589776254,5.2250725645832935e-15,4.816643150059827e-13,3.730030192870165e-14,4.405306567653072e-14
2023-09-12,0.9224935241024843,1.2187135276353233e-13,0.07750647589682128,5.151148349116649e-15,4.895357292539289e-13,3.4661515554990366e-14,4.3351735042503885e-14
2023-09-13,0.9224935240952893,1.3340497739985251e-13,0.07750647590400778,5.01904938068417e-15,4.777215958454318e-13,3.958170380611831e-14,4.716560915086919e-14
2023-09-14,0.9224935240869659,1.4459419762959773e-13,0.07750647591231058,4.906243851270211e-15,4.791345925796256e-13,4.4012984280922013e-14,5.0904544857743695e-14
