,^SPX,^RUT,URTH,AGG,IEF,TLT,VNQ,GLD,DBC,PUT,^VIX,^IRX,CDX.NA.IG
2023-08-02,1.9773157556346723e-11,4.6248810640878424e-12,0.05282139659476601,0.3774635746210708,7.261917821618206e-12,1.519286556778498e-12,4.244605104017817e-12,2.694273057779526e-11,0.025710515876867013,0.2558821242321775,0.0031595881475334556,0.18989625698030232,0.09506654348291638
2023-08-03,2.409151438206325e-11,5.452177570792035e-12,0.05282139657357308,0.37746357462308017,8.303211192999912e-12,1.662282317594939e-12,4.936242755490767e-12,3.58202807270817e-11,0.025710515863101822,0.2558821242405511,0.0031595881660869923,0.1898962570021357,0.0950665434512055
2023-08-04,7.243254248070274e-11,1.6848168556235772e-11,0.05282138941946944,0.3774635789440355,2.6298292063485012e-11,5.215068589083952e-12,1.5365764084566605e-11,1.1499829708070906e-10,0.025710515544189818,0.25588213010267125,0.0031595870422721824,0.18989625362432183,0.09506654507188204
2023-08-07,4.858661149776003e-12,1.6605522873779468e-12,8.565742460473514e-12,0.3850536601573977,3.791103404482215e-12,9.413449239451492e-13,1.7558882885448278e-12,2.9131547541825966e-12,0.024755238427209267,0.30477374382068484,0.005995206563695804,0.18498307201861272,0.0944390789879132
2023-08-08,9.666923403651093e-12,2.861203549365887e-12,1.8105682402982808e-11,0.3585347425049643,4.409125344465644e-12,7.870826438409875e-13,1.935699324094655e-12,3.98051942116453e-11,0.027015891691597817,0.3158144803409613,0.003038393784781817,0.1982162539321916,0.09738023766793229
2023-08-09,2.40632346081666e-11,7.505802098352941e-12,2.5901947857065787e-10,0.35853474196921065,1.1756515709277974e-11,2.388635676639375e-12,5.600534405216795e-12,1.236966661478759e-10,0.02701589174561624,0.31581448024759323,0.0030383937219529197,0.19821625416529945,0.09738023771629668
2023-08-10,1.8389726963989957e-11,5.6227558624611716e-12,1.6033482810757605e-10,0.35853474223408177,9.108020473840816e-12,1.826953663813081e-12,4.123078533051197e-12,7.768960813491413e-11,0.027015891718527498,0.315814480278348,0.0030383937518464535,0.19821625404615165,0.09738023769394956
2023-08-11,1.1843025209250767e-11,3.9207184605623845e-12,7.274844738572873e-11,0.3585347425635505,6.698924665032694e-12,1.3030520640399324e-12,2.9598556173418223e-12,3.88256126728653e-11,0.027015891681247323,0.3158144802698852,0.0030383937875012447,0.19821625389489786,0.09738023766461815
2023-08-14,2.0120964261860504e-12,7.154489117959735e-13,2.9715074381486565e-12,0.3457525810772462,1.869449914228939e-12,4.704072885043594e-13,6.106805463402743e-13,0.004810022431929885,0.020719083107953545,0.3231080275031186,0.004376093085542713,0.2038837257457514,0.09735046703980792
2023-08-15,7.36754594395358e-13,2.461049391458193e-13,1.0822481119338616e-12,0.34749205738227984,6.62329560995607e-13,1.5776411073866982e-13,1.9444713554270304e-13,0.006687399443128556,0.019320714379548035,0.3215746025829693,0.003268657663233091,0.2041223596751885,0.09753420887057299
2023-08-16,8.17714496913688e-13,2.946148395147931e-13,1.2076374121698693e-12,0.34575258098566136,7.735745510332736e-13,1.9494624136842246e-13,2.463523922168135e-13,0.004810022294865971,0.02071908320576734,0.32310802759293134,0.004376093165881118,0.20388372573160066,0.0973504670197574
2023-08-17,1.4983109452864262e-12,5.408225662446251e-13,2.200296856309285e-12,0.3457525809916332,1.425555036938144e-12,3.609806146150744e-13,4.559735910819107e-13,0.004810022319362182,0.02071908318738314,0.3231080275873778,0.004376093151990334,0.20388372572921548,0.0973504670265559
2023-08-18,1.1888655406404441e-12,4.228179345785268e-13,1.6801259072520943e-12,0.34575258100283185,1.1042457092743026e-12,2.9354187034131147e-13,3.5450499555136654e-13,0.004810022285853856,0.020719083206089985,0.3231080275888495,0.004376093170456735,0.2038837257228821,0.09735046701799194
2023-08-21,1.8649879564875454e-12,6.492720103071982e-13,2.6134656633312605e-12,0.34575258102076367,1.6717331100527368e-12,4.570822275163218e-13,5.53771845310073e-13,0.004810022305351273,0.020719083191730707,0.323108027569,0.004376093158820617,0.20388372572738042,0.097350467019143
2023-08-22,1.6424191729419467e-12,5.742068475338233e-13,2.3473337497859977e-12,0.34575258101782563,1.5056694904188089e-12,4.001091147246961e-13,4.94720444153024e-13,0.00481002231359641,0.02071908318666162,0.3231080275722405,0.004376093154808882,0.20388372572582025,0.09735046702208211
2023-08-23,1.2579517308380953e-12,4.2242785516374936e-13,1.7718103480791308e-12,0.34575258104958967,1.1067523354471508e-12,3.06242799380749e-13,3.8724309679323685e-13,0.004810022349657636,0.020719083163013914,0.32310802753520335,0.004376093132921475,0.20388372574259367,0.09735046702176799
2023-08-24,4.904901674759912e-12,1.6814445717939951e-12,7.246660041185222e-12,0.34749205750616735,4.237516443123866e-12,1.1144280805427653e-12,1.3604230100977686e-12,0.006687399511035361,0.019320714311459316,0.3215746025016354,0.0032686576198422855,0.2041223596451789,0.0975342088841359
2023-08-25,2.4494122234988686e-12,7.767427565724558e-13,3.5613256146840117e-12,0.34749205754839774,2.061919670708855e-12,4.853577602393074e-13,5.973700089403711e-13,0.0066873996426809875,0.01932071420745552,0.321574602475709,0.003268657543570677,0.2041223596636092,0.09753420890864492
2023-08-28,2.410582037043542e-12,7.851796221147823e-13,3.4252473737906416e-12,0.3474920575397683,2.1774698748641654e-12,5.157807719802745e-13,6.062428453727293e-13,0.006687399566619716,0.01932071427109345,0.32157460247002345,0.003268657586756897,0.20412235967089912,0.0975342088849186
2023-08-29,2.127065507160372e-12,6.590896396611068e-13,3.147286115135492e-12,0.34749205755985657,1.7317653981649927e-12,4.0706145970982747e-13,5.133507111491448e-13,0.006687399627074232,0.019320714222018948,0.3215746024626288,0.0032686575528016524,0.20412235966563574,0.0975342089013985
2023-08-30,1.6980588441791156e-12,6.207879210648641e-13,2.767230426566508e-12,0.3474920573955906,1.4771323299117703e-12,3.4451156692472713e-13,4.836016847358326e-13,0.006687399867776383,0.019320714065088975,0.3215746025657886,0.00326865742453142,0.20412235969136594,0.09753420898246686
2023-08-31,1.2107844166446518e-12,4.44299617572662e-13,2.0012255817787918e-12,0.34657435640737666,1.0241071551083356e-12,2.3695187949796017e-13,3.278021127793542e-13,0.008372155918072565,0.018081334347504606,0.32232174340717085,0.0023493397150856064,0.20417164165893187,0.0981294285406128
2023-09-01,1.6367753360929897e-11,5.9187386856609375e-12,2.5697375001126257e-11,0.34657435706547723,1.4678091305519416e-11,3.6447348128394525e-12,5.0291599770997495e-12,0.008372154621500278,0.018081335304023737,0.3223217428681131,0.0023493404147739067,0.20417164151943804,0.09812942813533786
2023-09-05,1.0673981296701139e-11,2.970673644250671e-12,1.3086700222225597e-11,0.3518373265701048,9.41687387392732e-12,2.630098784939476e-12,2.96899813757671e-12,0.0025330063345113197,0.023519268668721813,0.3273326557372325,0.005325414294405521,0.1940583294747694,0.0953939988785073
2023-09-06,3.4350214374557705e-12,9.807197247475862e-13,4.375576879189713e-12,0.35183732764781805,3.2118966909261883e-12,9.104893700336483e-13,9.134481661506427e-13,0.0025330059891162265,0.023519268504483912,0.3273326559204334,0.005325414556831554,0.19405832869405748,0.09539399867343219
2023-09-07,8.642573109807297e-12,3.60678789439854e-12,1.3546949132274023e-11,0.33150142990630044,8.872258725059845e-12,2.522541747182466e-12,3.5545249348861982e-12,0.009807846915388286,0.014864109914352464,0.34771659437667496,0.005532540912390107,0.1971089794766148,0.09346849845753337
