Regime_Type,,SPY,SPY,SPY,VIX,VIX,VIX
Regime,,Regime_1,Regime_2,Regime_3,High_Vol,Low_Vol,Medium_Vol
Crypto,Traditional,,,,,,
BTC-USD,DBC,False,False,False,False,False,False
BTC-USD,IEF,False,False,False,False,False,False
BTC-USD,VNQ,False,False,False,False,False,False
BTC-USD,^RUT,False,False,False,True,False,False
BTC-USD,^SPX,False,True,False,True,False,False
ETH-USD,DBC,False,True,True,False,False,False
ETH-USD,IEF,False,True,True,False,False,True
ETH-USD,VNQ,True,True,True,False,False,True
ETH-USD,^RUT,False,True,False,False,False,True
ETH-USD,^SPX,False,True,False,False,True,True
SOL-USD,DBC,True,False,False,False,False,False
SOL-USD,IEF,False,True,False,False,False,False
SOL-USD,VNQ,False,False,False,False,False,False
SOL-USD,^RUT,False,True,False,False,False,False
SOL-USD,^SPX,False,True,False,False,False,False
